ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave2,wave3,wave4,wave5,wave6,wave7
81921,7,437.7530934364428,2.0,0.0,0.0,5.5,4.0,4.0,3.0,3.0,0.0,1.0,4.0,1.0,2.6666666666666665,3.0,3.25,0,0,0,0,0,1
81923,7,395.3728390358963,2.6,0.0,1.0,8.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,3.0,2.75,3.0,2.6,2.75,0,0,0,0,0,1
81926,7,437.7530934364428,3.4,0.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,2.8,2.75,0,0,0,0,0,1
81927,7,395.3728390358963,3.4,0.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.6,3.0,0,0,0,0,0,1
81928,7,437.7530934364428,2.8,0.0,0.0,5.0,4.0,2.0,2.0,3.0,2.0,1.0,3.5,2.0,2.0,2.8,2.75,0,0,0,0,0,1
81929,7,437.7530934364428,3.0,0.0,0.0,5.0,4.0,3.0,3.0,3.0,2.0555555555555554,1.0,4.0,1.0,3.0,2.8,3.0,0,0,0,0,0,1
81931,7,395.3728390358963,2.6,0.0,1.0,6.0,3.0,2.0,4.0,4.0,5.666666666666666,1.0,2.75,1.25,3.0,2.6,3.0,0,0,0,0,0,1
81932,7,437.7530934364428,3.0,0.0,0.0,2.5,2.0,2.0,3.0,3.0,0.0,0.0,4.0,1.25,2.6666666666666665,3.4,4.0,0,0,0,0,0,1
90103,7,217.29547813210107,4.6,0.0,1.0,5.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,2.6666666666666665,2.8,3.0,0,0,0,0,0,1
90107,7,209.03047907629457,4.4,0.0,0.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.8,3.0,0,0,0,0,0,1
90108,7,217.29547813210107,4.2,0.0,1.0,7.3,4.0,4.0,4.0,3.0,2.1666666666666665,0.0,3.25,1.0,2.3333333333333335,2.8,3.0,0,0,0,0,0,1
90109,7,217.29547813210107,3.0,0.0,1.0,5.5,2.0,2.0,3.0,4.0,0.0,0.0,3.75,1.25,3.0,2.8,3.5,0,0,0,0,0,1
90110,7,209.03047907629457,4.0,0.0,0.0,8.0,4.0,5.0,4.0,3.0,0.0,1.0,3.75,1.25,3.6666666666666665,3.2,4.0,0,0,0,0,0,1
90112,7,217.29547813210107,2.6,0.0,1.0,5.5,4.0,3.0,3.0,3.0,0.0,0.0,2.75,1.25,2.3333333333333335,2.6,2.75,0,0,0,0,0,1
90113,7,209.03047907629457,3.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,2.333333333333333,1.0,3.5,1.5,3.6666666666666665,3.2,4.0,0,0,0,0,0,1
90114,7,217.29547813210107,3.8,0.0,1.0,8.3,4.0,4.0,4.0,3.0,1.5,0.0,3.25,1.5,2.3333333333333335,2.8,3.0,0,0,0,0,0,1
90115,7,209.03047907629457,3.0,0.0,0.0,5.5,2.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,0,0,0,0,0,1
90116,7,217.29547813210107,3.0,0.0,1.0,3.8,2.0,4.0,2.0,3.0,0.0,0.0,3.0,1.25,2.0,2.8,3.0,0,0,0,0,0,1
90121,7,209.03047907629457,3.0,0.0,0.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,2.75,2.0,3.0,2.8,3.0,0,0,0,0,0,1
90122,7,217.29547813210107,2.8,0.0,1.0,10.0,4.0,4.0,4.0,4.0,1.6666666666666665,1.0,4.0,1.5,3.6666666666666665,3.0,3.25,0,0,0,0,0,1
90124,7,217.29547813210107,2.4,0.0,1.0,7.0,3.0,3.0,3.0,4.0,0.0,0.0,3.5,1.5,2.6666666666666665,3.0,2.75,0,0,0,0,0,1
90126,7,217.29547813210107,1.8,1.0,1.0,4.0,4.0,4.0,2.0,2.0,0.6666666666666666,0.0,3.25,1.25,2.6666666666666665,3.0,2.5,0,0,0,0,0,1
90202,7,170.5575782286874,3.0,0.0,1.0,5.5,4.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,3.3333333333333335,3.2,4.0,0,0,0,0,0,1
90204,7,164.07029080265193,3.4,0.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.75,1.5,2.3333333333333335,2.6,2.5,0,0,0,0,0,1
90205,7,164.07029080265193,3.0,0.0,0.0,6.5,4.0,4.0,3.0,3.0,1.5,1.0,4.0,1.0,3.0,2.8,2.75,0,0,0,0,0,1
90206,7,170.5575782286874,1.8,0.0,1.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,2.5,3.0,2.0,2.8,2.25,0,0,0,0,0,1
