ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,presch,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6,wave7
15804,2,518.2197433740407,3.6666666666666665,0.0,0.0,7.0,4.0,4.0,3.0,3.0,1.3333333333333333,1.0,1.0,2.75,1.75,3.0,2.0,1.75,0,0,0,0,0
15805,2,455.7834887889629,3.6666666666666665,0.0,1.0,4.5,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,1.0,3.75,1.75,3.3333333333333335,2.8,2.75,0,0,0,0,0
15807,2,455.7834887889629,4.0,0.0,1.0,6.0,4.0,5.0,4.0,4.0,0.5,1.0,1.0,3.5,2.5,3.6666666666666665,3.0,4.0,0,0,0,0,0
15808,2,518.2197433740407,4.0,0.0,0.0,7.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,3.0,2.75,3.6666666666666665,3.4,4.0,0,0,0,0,0
15814,2,518.2197433740407,4.0,0.0,0.0,6.0,4.0,3.0,4.0,3.0,3.333333333333333,0.0,1.0,3.75,1.75,3.3333333333333335,3.8,4.0,0,0,0,0,0
15815,2,455.7834887889629,5.0,0.0,1.0,5.0,2.0,2.0,2.0,3.0,3.1666666666666665,1.0,1.0,3.75,1.5,4.0,3.0,4.0,0,0,0,0,0
15816,2,455.7834887889629,5.0,0.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,1.0,0.0,3.75,2.0,3.6666666666666665,2.6,3.25,0,0,0,0,0
15818,2,455.7834887889629,5.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,1.75,4.0,3.4,3.5,0,0,0,0,0
15819,2,518.2197433740407,3.0,0.0,0.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,2.25,2.5,2.3333333333333335,2.8,3.5,0,0,0,0,0
15821,2,518.2197433740407,4.666666666666667,0.0,0.0,6.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,3.6666666666666665,3.2,4.0,0,0,0,0,0
15823,2,518.2197433740407,4.666666666666667,0.0,0.0,6.0,4.0,4.0,3.0,3.0,2.333333333333333,1.0,0.0,3.75,2.0,3.6666666666666665,3.2,4.0,0,0,0,0,0
15826,2,455.7834887889629,4.333333333333333,0.0,1.0,5.5,4.0,3.0,3.0,3.0,1.3333333333333333,1.0,1.0,3.5,1.75,3.6666666666666665,3.2,3.75,0,0,0,0,0
15828,2,455.7834887889629,3.3333333333333335,0.0,1.0,6.0,4.0,2.0,3.0,3.0,0.6666666666666666,1.0,1.0,3.25,2.25,2.3333333333333335,1.8,3.0,0,0,0,0,0
15901,2,298.5225394112901,3.0,0.0,1.0,9.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,3.5,4.0,2.0,3.0,4.0,0,0,0,0,0
15902,2,339.4161429062106,3.6666666666666665,0.0,0.0,5.0,4.0,4.0,4.0,3.0,0.6666666666666666,1.0,1.0,3.25,1.75,3.6666666666666665,3.0,3.75,0,0,0,0,0
15903,2,339.4161429062106,4.0,0.0,0.0,2.4,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,3.3333333333333335,3.4,4.0,0,0,0,0,0
