ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6
14530,2,459.00563920075416,4.6,0.0,1.0,7.0,4.0,4.0,4.0,3.0,1.3333333333333333,1.0,4.0,1.0,3.3333333333333335,2.8,2.5,0,0,0,0
14531,2,656.0191782984826,4.8,0.0,0.0,6.0,4.0,4.0,4.0,3.0,2.6666666666666665,1.0,3.5,1.25,3.3333333333333335,3.0,3.0,0,0,0,0
14532,2,459.00563920075416,3.0,0.0,1.0,1.5,2.0,2.0,3.0,3.0,0.0,0.0,3.25,3.0,2.3333333333333335,2.6,3.0,0,0,0,0
14533,2,656.0191782984826,4.6,0.0,0.0,4.0,2.0,2.0,3.0,3.0,2.5,1.0,3.25,2.5,3.3333333333333335,2.8,4.0,0,0,0,0
14535,2,464.6910491691928,2.0,0.0,0.0,3.5,2.0,2.0,2.0,3.0,1.3333333333333333,1.0,3.0,2.75,2.6666666666666665,3.0,4.0,0,0,0,0
14601,2,549.2873751968029,3.6,0.0,1.0,4.0,4.0,4.0,3.0,3.0,2.333333333333333,1.0,2.5,2.75,2.6666666666666665,2.8,2.75,0,0,0,0
14603,2,549.2873751968029,4.2,0.0,1.0,10.0,5.0,5.0,3.0,3.0,2.333333333333333,1.0,3.5,2.0,4.0,3.0,3.75,0,0,0,0
14604,2,393.9069783450608,4.6,0.0,0.0,10.0,5.0,5.0,3.0,3.0,3.6666666666666665,1.0,3.0,1.5,3.0,4.0,3.5,0,0,0,0
14605,2,549.2873751968029,2.4,0.0,1.0,17.0,4.0,4.0,4.0,4.0,2.0,1.0,3.25,3.75,3.3333333333333335,3.4,3.25,0,0,0,0
14606,2,549.2873751968029,4.0,0.0,1.0,10.0,4.0,4.0,3.0,4.0,3.6666666666666665,1.0,3.0,3.5,3.3333333333333335,3.0,3.5,0,0,0,0
14607,2,549.2873751968029,3.0,0.0,1.0,8.0,5.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0
14608,2,393.9069783450608,3.2,0.0,0.0,12.0,4.0,4.0,4.0,4.0,0.0,1.0,3.25,1.0,4.0,2.8,4.0,0,0,0,0
14610,2,549.2873751968029,4.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,2.5,1.0,1.0,1.0,3.3333333333333335,3.0,4.0,0,0,0,0
14611,2,549.2873751968029,5.0,0.0,1.0,8.0,5.0,4.0,4.0,3.0,5.666666666666666,1.0,4.0,2.0,4.0,3.0,4.0,0,0,0,0
14612,2,393.9069783450608,4.2,0.0,0.0,9.6,4.0,4.0,4.0,3.0,2.0,1.0,3.25,1.5,3.0,3.2,3.5,0,0,0,0
